L01_001,L01_002,L01_003,L01_004,L01_005,L01_006,L01_007,L01_008,L01_009,L01_010,L01_011,L01_012,L01_013,L01_014,L01_015,L01_016,L01_017,L01_018,L01_019,L01_020,L01_021,L01_022,L01_023,L01_024,L01_025,L01_026,L01_027,L01_028,L01_029,L01_030,L01_031,L01_032,L01_033,L01_034,L01_035,L01_036,L01_037,L01_038,L01_039,L01_040,L01_041,L01_042,L01_043,L01_044,L01_045,L01_046,L01_047,L01_048,L01_049,L01_050,L01_051,L01_052,L01_053,L01_054,L01_055,L01_056,L01_057,L01_058,L01_059,L01_060,L01_061,L01_062,L01_063,L01_064,L01_065,L01_066,L01_067,L01_068,L01_069,L01_070,L01_071,L01_072,L01_073,L01_074,L01_075,L01_076,L01_077,L01_078,L01_079,L01_080,L01_081,L01_082,L01_083,L01_084,L01_085,L01_086,L01_087,L01_088,L01_089,L01_090,L01_091,L01_092,L01_093,L01_094,L01_095,L01_096,L01_097,L01_098,L01_099,L01_100,L01_101,L01_102,L01_103,L01_104,L01_105,L01_106,L01_107,L01_108,L01_109,L01_110,L01_111,L01_112,L01_113,L01_114,L01_115,L01_116,L01_117,L01_118,L01_119,L01_120,L01_121,L01_122,L01_123,L01_124,L01_125,L01_126,L01_127,L01_128,L01_129,L01_130,L01_131,L01_132,L01_133,L01_134,L01_135,L01_136,L01_137,L01_138,L01_139,L01_140,L01_141,L01_142,L01_143,L01_144,L01_145,L01_146,lon,lat
27102,000,001,27102,000,001,2025,208000,3.5,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区毛馬町５丁目２３番,毛馬町５－６－２４,185,住宅,住宅,001,LS,true,true,true,_,1.0,1.5,2,0,市道,南東,6.0,_,_,_,_,住宅、マンション、倉庫等が混在する住宅地域,城北公園通,_,750,2中専,準防,市街化,_,_,_,60,200,false,false,0000000001111111111111111111111111111111111,0,0,0,0,0,0,0,0,0,410000,333000,290000,287000,282000,281000,277000,269000,260000,251000,240000,228000,217000,211000,214000,219000,223000,216000,199000,194000,193000,192000,191000,191000,191000,191000,191000,192000,193000,194000,195000,197000,201000,208000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.524715,34.725005
27102,000,002,27102,000,002,2025,326000,8.7,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区御幸町１丁目９４番２,御幸町１－６－２６,165,住宅,住宅,001,W,true,true,true,_,1.0,2.0,2,0,市道,南,6.0,_,_,_,_,一般住宅の中に、共同住宅等が混在する住宅地域,野江内代,_,770,1住居,準防,市街化,_,_,_,80,300,false,false,0000000000000000000000000001111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,235000,234000,234000,237000,242000,246000,248000,251000,255000,260000,264000,270000,281000,300000,326000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.53444610000008,34.71339806000003
27102,000,003,27102,000,003,2025,373000,8.4,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区都島北通２丁目１５７番,都島北通２－８－１０,142,住宅,住宅,001,W,true,true,true,_,1.0,2.0,2,0,市道,北,5.5,_,_,_,_,中小規模住宅が多く、店舗等の混在する住宅地域,野江内代,_,550,1住居,準防,市街化,_,_,_,80,300,false,false,1111111111111111111111111111111111111111111,290000,300000,310000,320000,337000,425000,587000,798000,817000,611000,501000,424000,405000,397000,395000,389000,370000,353000,338000,319000,300000,284000,275000,277000,287000,296000,290000,270000,265000,264000,264000,267000,273000,277000,280000,285000,290000,296000,300000,307000,322000,344000,373000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.53287190000003,34.70975
27102,000,004,27102,000,004,2025,348000,8.1,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区中野町２丁目９３番,中野町２－９－９,158,住宅,住宅,001,LS,true,true,true,_,1.0,2.0,3,0,市道,北,8.0,_,_,_,_,住宅、マンション、事業所等の混在する住宅地域,ＯｓａｋａＭｅｔｒｏ京橋,_,730,2住居,準防,市街化,_,_,_,80,300,false,false,0000000000000000000001111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285000,275000,274000,283000,290000,282000,261000,253000,252000,252000,255000,260000,265000,268000,272000,277000,283000,286000,292000,304000,322000,348000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.5260439000001,34.70062611000003
27102,000,005,27102,000,005,2025,353000,8.3,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区都島中通２丁目１０１番,都島中通２－１１－１７,166,住宅,住宅,001,W,true,true,true,_,1.0,1.5,2,0,市道,南,5.5,_,_,_,_,一般住宅のほかにマンションが見られる住宅地域,京橋,_,1000,1住居,準防,市街化,_,_,_,80,300,false,true,0000000000111111111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,510000,443000,421000,410000,405000,396000,371000,355000,338000,320000,303000,286000,277000,278000,287000,295000,287000,267000,261000,260000,260000,263000,269000,273000,275000,279000,283000,287000,290000,296000,308000,326000,353000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.53295390000005,34.704013890000056
27102,000,006,27102,000,006,2025,377000,8.6,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区中野町４丁目９３番１,中野町４－１０－１０,125,住宅,住宅,001,W,true,true,true,台形,1.0,1.5,2,0,市道,北,8.0,_,_,_,_,一般住宅、アパート、店舗等が混在する住宅地域,桜ノ宮,_,250,2中専,準防,市街化,_,_,_,60,300,false,false,0000000000001111111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,570000,475000,450000,442000,415000,398000,374000,351000,327000,304000,293000,293000,300000,307000,298000,278000,271000,270000,270000,273000,279000,283000,285000,290000,295000,301000,305000,312000,327000,347000,377000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.52338110000005,34.70401889000004
27102,000,007,27102,000,007,2025,355000,7.6,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区高倉町２丁目３０番３,高倉町２－３－２３,81,住宅,住宅,001,W,true,true,true,_,1.0,1.5,2,0,市道,南,6.0,_,_,_,_,一般住宅の中に共同住宅等が見られる住宅地域,都島,_,1000,1住居,準防,市街化,_,_,_,80,200,false,false,0000000000000000000000000000000001111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278000,280000,284000,289000,294000,297000,303000,315000,330000,355000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.53254,34.71533
27102,000,008,27102,000,008,2025,368000,8.2,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区都島本通４丁目１７４番,都島本通４－１１－２９,194,住宅,住宅,001,RC,true,true,true,_,1.0,1.5,3,0,市道,南,5.5,_,_,_,_,一般住宅、マンション等が混在する住宅地域,都島,_,580,1住居,準防,市街化,_,_,_,80,300,false,false,0000000000000000000000000000000001111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277000,280000,285000,290000,296000,299000,306000,320000,340000,368000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.53106810000008,34.70743528000003
27102,005,001,27102,005,001,2025,752000,8.5,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区東野田町２丁目２番４,東野田町２－２－３,257,"店舗,事務所",店舗兼事務所,001,S,true,true,true,_,1.0,1.0,5,0,市道,西,11.0,_,_,_,_,中高層の店舗兼事務所が建ち並ぶ駅前の商業地域,ＯｓａｋａＭｅｔｒｏ京橋,_,80,商業,防火,市街化,_,_,_,80,600,false,false,0000000001111111111111111111111111111111111,0,0,0,0,0,0,0,0,0,4150000,3100000,2330000,1750000,1320000,1110000,1000000,880000,769000,679000,601000,540000,488000,460000,460000,515000,597000,591000,527000,504000,503000,503000,510000,525000,541000,557000,580000,614000,655000,645000,645000,665000,693000,752000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,11000000000000,10000000000000,10000000000000,10010000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.5305181000001,34.696756110000024
27102,005,002,27102,005,002,2025,606000,9.6,1,false,false,false,false,false,false,false,false,false,false,false,false,false,大阪都島,大阪府　大阪市都島区片町１丁目３番５０,片町１－２－８,309,"住宅,店舗",店舗兼共同住宅,001,RC,true,true,true,_,1.0,3.0,10,0,府道,北,27.0,_,_,背面道,_,高層の店舗兼共同住宅が多い駅に近い商業地域,大阪城北詰,_,70,商業,防火,市街化,_,_,_,80,400,false,false,0000000000111111111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,2500000,2200000,1650000,1240000,1050000,950000,830000,720000,635000,559000,492000,439000,409000,410000,444000,510000,481000,436000,415000,412000,412000,412000,420000,428000,436000,449000,467000,486000,486000,500000,520000,553000,606000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10010000000000,10000000000000,10000000000000,10000000000010,10001000000000,10000000000000,10000000000000,10111000000000,11010000000000,11011000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,135.52708610000002,34.693231110000056
