N02_001,N02_002,N02_003,N02_004,N02_005,N02_005c,N02_005g,lon,lat
11,2,指宿枕崎線,九州旅客鉄道,二月田,010112,010112,130.62985,31.25459
23,5,沖縄都市モノレール線,沖縄都市モノレール,古島,010127,010127,127.70309,26.23093
24,5,東京臨海新交通臨海線,ゆりかもめ,お台場海浜公園,004091,004091,139.77888,35.63
24,5,東京臨海新交通臨海線,ゆりかもめ,東京国際クルーズターミナル,004128,004128,139.77288121,35.62162643
24,5,東京臨海新交通臨海線,ゆりかもめ,テレコムセンター,004144,004144,139.77932,35.61754
24,5,東京臨海新交通臨海線,ゆりかもめ,汐留,003896,003887,139.75979,35.66269
24,5,東京臨海新交通臨海線,ゆりかもめ,台場,004112,004112,139.77172,35.62606
24,5,東京臨海新交通臨海線,ゆりかもめ,有明,004064,004064,139.79355,35.63428
24,5,東京臨海新交通臨海線,ゆりかもめ,東京ビッグサイト,004087,004087,139.7906,35.62983
24,5,東京臨海新交通臨海線,ゆりかもめ,新橋,003882,003872,139.75898,35.66583
24,5,東京臨海新交通臨海線,ゆりかもめ,竹芝,003958,003958,139.76224,35.65435
24,5,東京臨海新交通臨海線,ゆりかもめ,芝浦ふ頭,004030,004030,139.75788,35.64195
24,5,東京臨海新交通臨海線,ゆりかもめ,日の出,003979,003979,139.759,35.64891
24,5,東京臨海新交通臨海線,ゆりかもめ,青海,004119,004119,139.78191,35.62513
24,5,東京臨海新交通臨海線,ゆりかもめ,新豊洲,003981,003981,139.79038,35.64889
24,5,東京臨海新交通臨海線,ゆりかもめ,市場前,004001,004001,139.786,35.6459
24,5,東京臨海新交通臨海線,ゆりかもめ,有明テニスの森,004037,004037,139.78866,35.64025
24,5,東京臨海新交通臨海線,ゆりかもめ,豊洲,003961,003951,139.79583,35.654
21,4,けいはんな線,近畿日本鉄道,新石切,007215,007215,135.64165,34.68009
21,4,けいはんな線,近畿日本鉄道,長田,007233,007232,135.59282,34.67875
21,4,けいはんな線,近畿日本鉄道,吉田,007213,007213,135.6256,34.68031
21,4,けいはんな線,近畿日本鉄道,荒本,007234,007234,135.60546,34.67862
12,4,けいはんな線,近畿日本鉄道,生駒,007122,007122,135.69923,34.69325
12,4,けいはんな線,近畿日本鉄道,学研奈良登美ヶ丘,006945,006945,135.75,34.72645
12,4,けいはんな線,近畿日本鉄道,白庭台,006966,006966,135.7173,34.7213
12,4,けいはんな線,近畿日本鉄道,学研北生駒,006950,006950,135.72403,34.72511
16,5,ポートアイランド線,神戸新交通,ポートターミナル,007203,007203,135.20231,34.68114
16,5,ポートアイランド線,神戸新交通,中埠頭,007288,007288,135.21734,34.66901
24,5,ポートアイランド線,神戸新交通,市民広場,007340,007340,135.21226,34.66521
24,5,ポートアイランド線,神戸新交通,貿易センター,007153,007153,135.19962,34.6891
24,5,ポートアイランド線,神戸新交通,三宮,007108,007108,135.19549,34.69472
16,5,ポートアイランド線,神戸新交通,北埠頭,007271,007271,135.21468,34.67329
16,5,ポートアイランド線,神戸新交通,南公園,007343,007343,135.21676,34.66454
24,5,ポートアイランド線,神戸新交通,みなとじま,007289,007289,135.20981,34.66937
16,5,ポートアイランド線,神戸新交通,中公園,007276,007276,135.20769,34.67281
24,5,ポートアイランド線,神戸新交通,医療センター,007381,007381,135.21655,34.6583
24,5,ポートアイランド線,神戸新交通,計算科学センター,007403,007403,135.22183,34.65494
24,5,ポートアイランド線,神戸新交通,神戸空港,007482,007482,135.22846,34.63733
12,4,富山港線,富山地方鉄道,岩瀬浜,001838,001838,137.23403,36.76159
12,4,富山港線,富山地方鉄道,競輪場前,001843,001843,137.23411,36.75776
12,4,富山港線,富山地方鉄道,東岩瀬,001852,001852,137.2307,36.75226
21,4,富山港線,富山地方鉄道,インテック本社前,001917,001917,137.21617,36.70371
12,4,富山港線,富山地方鉄道,萩浦小学校前,001858,001858,137.22829164,36.74767192
12,4,富山港線,富山地方鉄道,蓮町（馬場記念公園前）,001868,001868,137.22755,36.74187
12,4,富山港線,富山地方鉄道,犬島新町,001879,001879,137.22658,36.73471
12,4,富山港線,富山地方鉄道,城川原,001884,001884,137.22605,36.7308
12,4,富山港線,富山地方鉄道,越中中島,001893,001893,137.22485,36.72185
12,4,富山港線,富山地方鉄道,粟島（大阪屋ショップ前）,001900,001900,137.22485,36.71883
12,4,富山港線,富山地方鉄道,下奥井,001906,001906,137.22453,36.71155
12,4,富山港線,富山地方鉄道,奥田中学校前,001918,001918,137.22362,36.70331
21,4,富山港線,富山地方鉄道,富山駅,001924,001923,137.21299592,36.70175498
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,盛岡,000794,000792,141.13473,39.7027
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,御堂,000727,000727,141.23693,40.00403
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,二戸,000668,000668,141.28538,40.25874
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,小鳥谷,000698,000698,141.30774,40.17117
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,渋民,000764,000764,141.15499,39.83539
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,斗米,000662,000662,141.29089,40.28582
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,いわて沼宮内,000734,000733,141.21707,39.96091
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,厨川,000776,000776,141.12834,39.74318
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,岩手川口,000743,000743,141.19939,39.91946
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,一戸,000686,000686,141.29733,40.21092
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,金田一温泉,000657,000657,141.30387,40.32295
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,滝沢,000770,000770,141.1487,39.79979
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,小繋,000707,000707,141.26081,40.12404
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,奥中山高原,000718,000718,141.2285,40.06654
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,目時,000651,000651,141.28974,40.35298
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,好摩,000758,000757,141.1744,39.87513
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,青山,000782,000782,141.11826,39.72457
12,5,いわて銀河鉄道線,アイジーアールいわて銀河鉄道,巣子,000771,000771,141.14849,39.78326
12,5,いすみ線,いすみ鉄道,上総中野,005239,005238,140.19921,35.25022
12,5,いすみ線,いすみ鉄道,大多喜,005145,005145,140.2439,35.28688
12,5,いすみ線,いすみ鉄道,東総元,005207,005207,140.24799,35.2596
12,5,いすみ線,いすみ鉄道,上総中川,005154,005154,140.28015,35.28272
12,5,いすみ線,いすみ鉄道,国吉,005160,005160,140.3133,35.28046
12,5,いすみ線,いすみ鉄道,久我原,005236,005236,140.24788,35.24991
12,5,いすみ線,いすみ鉄道,上総東,005198,005198,140.3445,35.26325
12,5,いすみ線,いすみ鉄道,西畑,005233,005233,140.2152,35.25054
12,5,いすみ線,いすみ鉄道,小谷松,005182,005182,140.25071,35.26918
12,5,いすみ線,いすみ鉄道,総元,005257,005257,140.24078,35.24059
12,5,いすみ線,いすみ鉄道,西大原,005204,005204,140.37756,35.26052
12,5,いすみ線,いすみ鉄道,新田野,005169,005169,140.32828,35.27625
12,5,いすみ線,いすみ鉄道,大原,005230,005229,140.39105,35.25052
12,5,三国芦原線,えちぜん鉄道,西長田ゆりの里,002575,002575,136.20662,36.15326
12,5,三国芦原線,えちぜん鉄道,鷲塚針原,002609,002609,136.20478,36.1199
12,5,三国芦原線,えちぜん鉄道,西別院,002668,002668,136.22261,36.07524
12,5,三国芦原線,えちぜん鉄道,中角,002630,002630,136.20447,36.1008
12,5,三国芦原線,えちぜん鉄道,新田塚,002638,002638,136.20532,36.09222
12,5,三国芦原線,えちぜん鉄道,番田,002533,002533,136.2025,36.21286
12,5,三国芦原線,えちぜん鉄道,福井口,002677,002677,136.23296269,36.07039051
12,5,三国芦原線,えちぜん鉄道,三国,002526,002526,136.14963,36.21712
12,5,三国芦原線,えちぜん鉄道,太郎丸エンゼルランド,002599,002599,136.20566,36.131
12,5,三国芦原線,えちぜん鉄道,福大前西福井,002671,002671,136.20971,36.07458
12,5,三国芦原線,えちぜん鉄道,大関,002556,002556,136.20381,36.18696
12,5,三国芦原線,えちぜん鉄道,三国神社,002530,002530,136.15796,36.21477
12,5,三国芦原線,えちぜん鉄道,水居,002524,002524,136.17195,36.2191
12,5,三国芦原線,えちぜん鉄道,あわら湯のまち,002519,002519,136.19339,36.22297
12,5,三国芦原線,えちぜん鉄道,西春江ハートピア,002591,002591,136.2062,36.13859
12,5,三国芦原線,えちぜん鉄道,田原町,002669,002669,136.21723,36.07497
12,5,三国芦原線,えちぜん鉄道,下兵庫こうふく,002567,002567,136.2026,36.17012
12,5,三国芦原線,えちぜん鉄道,三国港,002522,002522,136.13998,36.22019
12,5,三国芦原線,えちぜん鉄道,本荘,002542,002542,136.20312,36.20508
12,5,勝山永平寺線,えちぜん鉄道,志比堺,002631,002631,136.31061,36.09769
12,5,勝山永平寺線,えちぜん鉄道,越前竹原,002673,002673,136.41302,36.07393
12,5,勝山永平寺線,えちぜん鉄道,保田,002679,002679,136.45164,36.06992
12,5,勝山永平寺線,えちぜん鉄道,山王,002659,002659,136.39244,36.07913
12,5,勝山永平寺線,えちぜん鉄道,勝山,002697,002697,136.4922,36.05592
12,5,勝山永平寺線,えちぜん鉄道,越前野中,002653,002653,136.37688,36.08289
12,5,勝山永平寺線,えちぜん鉄道,松岡,002637,002637,136.30129,36.09392
12,5,勝山永平寺線,えちぜん鉄道,発坂,002675,002675,136.46615,36.07259
12,5,勝山永平寺線,えちぜん鉄道,光明寺,002645,002645,136.34416,36.08854
12,5,勝山永平寺線,えちぜん鉄道,永平寺口,002634,002634,136.32646,36.09603
12,5,勝山永平寺線,えちぜん鉄道,小舟渡,002664,002664,136.43402,36.07553
12,5,勝山永平寺線,えちぜん鉄道,轟,002648,002648,136.36076,36.08689
12,5,勝山永平寺線,えちぜん鉄道,下志比,002641,002641,136.33606,36.09081
12,5,勝山永平寺線,えちぜん鉄道,比島,002682,002682,136.48408,36.06598
12,5,勝山永平寺線,えちぜん鉄道,福井口,002678,002677,136.23296269,36.07039051
12,5,勝山永平寺線,えちぜん鉄道,越前新保,002658,002658,136.25071,36.08024
12,5,勝山永平寺線,えちぜん鉄道,越前開発,002667,002667,136.2416,36.07547
12,5,勝山永平寺線,えちぜん鉄道,福井,002688,002688,136.22436696,36.06274321
12,5,勝山永平寺線,えちぜん鉄道,越前島橋,002642,002642,136.27684,36.09004
12,5,勝山永平寺線,えちぜん鉄道,観音町,002639,002639,136.28931,36.09185
12,5,勝山永平寺線,えちぜん鉄道,東藤島,002649,002649,136.26952,36.08647
12,5,勝山永平寺線,えちぜん鉄道,新福井,002685,002685,136.2271567,36.0651366
12,5,勝山永平寺線,えちぜん鉄道,追分口,002654,002654,136.26104,36.0823
12,5,湯前線,くま川鉄道,東多良木,009899,009899,130.9512,32.27237
12,5,湯前線,くま川鉄道,一武,009917,009917,130.83966,32.21438
12,5,湯前線,くま川鉄道,木上,009913,009913,130.85866,32.22402
12,5,湯前線,くま川鉄道,公立病院前,009903,009903,130.9222,32.25622
12,5,湯前線,くま川鉄道,多良木,009902,009902,130.9335,32.26294
12,5,湯前線,くま川鉄道,あさぎり,009909,009909,130.8941,32.23647
12,5,湯前線,くま川鉄道,湯前,009897,009897,130.98026,32.28132
12,5,湯前線,くま川鉄道,新鶴羽,009898,009898,130.96654,32.27564
12,5,湯前線,くま川鉄道,肥後西村,009922,009922,130.80848,32.20234
12,5,湯前線,くま川鉄道,おかどめ幸福,009911,009911,130.87545,32.23155
12,5,湯前線,くま川鉄道,東免田,009906,009906,130.91268,32.24995
12,5,湯前線,くま川鉄道,相良藩願成寺,009914,009914,130.77001,32.21832
12,5,湯前線,くま川鉄道,川村,009920,009920,130.79496,32.20723
12,5,湯前線,くま川鉄道,人吉温泉,009916,009916,130.75482,32.21664
12,5,しなの鉄道線,しなの鉄道,平原,002414,002414,138.45262,36.30848
12,5,しなの鉄道線,しなの鉄道,屋代高校前,002132,002132,138.1323,36.54744
12,5,しなの鉄道線,しなの鉄道,中軽井沢,002353,002353,138.59332,36.34763
12,5,しなの鉄道線,しなの鉄道,御代田,002395,002395,138.50466,36.31919
12,5,しなの鉄道線,しなの鉄道,軽井沢,002361,002361,138.63542,36.34286
12,5,しなの鉄道線,しなの鉄道,信濃追分,002371,002371,138.55719,36.33483
12,5,しなの鉄道線,しなの鉄道,田中,002343,002343,138.32805,36.35509
12,5,しなの鉄道線,しなの鉄道,上田,002276,002275,138.25026,36.39575
12,5,しなの鉄道線,しなの鉄道,西上田,002243,002243,138.20804,36.41726
12,5,しなの鉄道線,しなの鉄道,戸倉,002185,002185,138.15308,36.4929
12,5,しなの鉄道線,しなの鉄道,坂城,002211,002211,138.18242,36.46104
