"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","網島町","大阪城北詰",5,14000000,"３ＤＫ",55,"1980年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","網島町","大阪城北詰",5,10000000,"３ＤＫ",55,"1980年","ＳＲＣ","","","商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","内代町","野江内代",6,32000000,"１ＬＤＫ",35,"2024年","ＲＣ","","","１種住居","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","内代町","","",44000000,"３ＬＤＫ",65,"","","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","内代町","野江内代",4,24000000,"１ＬＤＫ",55,"2000年","ＳＲＣ","","","近隣商業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","善源寺町","都島",6,79000000,"４ＬＤＫ",115,"2006年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","善源寺町","都島",5,87000000,"２ＬＤＫ",95,"2011年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","善源寺町","都島",6,70000000,"３ＬＤＫ",80,"2012年","ＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","善源寺町","都島",8,56000000,"３ＬＤＫ",85,"2007年","ＲＣ","","","準工業","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","27102","大阪府","大阪市都島区","善源寺町","都島",5,62000000,"３ＬＤＫ",80,"2010年","ＳＲＣ","","","準工業","","","2025年第1四半期","",""
