st_name,cnt,median_pps
阿波座,569,553846.0
新大阪,568,296000.0
天神橋筋六丁目,544,706667.0
中津(大阪メトロ),523,745455.0
本町,504,1000000.0
福島(ＪＲ西日本),500,962500.0
都島,483,470588.0
堺筋本町,469,870588.0
谷町四丁目,463,666667.0
弁天町,434,454545.0
東三国,434,350000.0
西長堀,415,676923.0
北浜(大阪),372,911111.0
大阪上本町,370,693333.0
谷町六丁目,368,600000.0
中崎町,342,800000.0
中之島,318,1040000.0
京橋(大阪),315,487500.0
天満橋,294,583333.0
南森町,293,650000.0
桜川(大阪),291,560000.0
天王寺,288,635294.0
四天王寺前夕陽ケ丘,287,600000.0
今福鶴見,279,444444.0
長堀橋,269,680000.0
西大橋,266,850000.0
大正(大阪),248,314286.0
蒲生四丁目,248,492308.0
塚本,247,353846.0
谷町九丁目,246,560000.0
松屋町,236,600000.0
三国(大阪),231,430769.0
城北公園通,226,375000.0
肥後橋,224,738462.0
大阪天満宮,215,700000.0
十三,214,353846.0
野田(阪神),211,742857.0
新福島,210,738462.0
御幣島,199,400000.0
阿倍野,194,533333.0
四ツ橋,188,853333.0
鴫野,186,415385.0
関目高殿,184,300000.0
横堤,179,412500.0
千船,178,250000.0
扇町(大阪),177,871429.0
神崎川,175,485714.0
関目,168,307692.0
鶴橋,165,500000.0
ＪＲ難波,163,720000.0
西中島南方,163,360000.0
上新庄,159,384615.0
九条(大阪メトロ),158,430000.0
放出,155,428571.0
住之江公園,154,294118.0
桜ノ宮,153,533333.0
玉造(ＪＲ),153,622222.0
西田辺,153,526316.0
野江,149,488889.0
天満,149,533333.0
朝潮橋,148,285714.0
北加賀屋,146,300000.0
日本橋(大阪),145,575000.0
深江橋,145,412500.0
ユニバーサルシティ,144,400000.0
緑橋,140,415385.0
森ノ宮,140,600000.0
平野(ＪＲ),135,200000.0
寺田町,132,428571.0
淡路,131,228571.0
中津(阪急),125,640000.0
野田阪神,120,741176.0
なんば(大阪メトロ),119,600000.0
玉造(大阪メトロ),116,675000.0
桃谷,116,555556.0
長居,115,357143.0
心斎橋,114,666667.0
淀屋橋,114,933333.0
西九条,113,480000.0
あびこ,113,446154.0
今里(大阪メトロ),111,369231.0
ポートタウン西,109,162500.0
大国町,108,640000.0
平野(大阪メトロ),105,371429.0
野江内代,103,457143.0
コスモスクエア,96,400000.0
大阪,95,1684211.0
安治川口,89,341176.0
姫島,89,300000.0
加島,89,353846.0
大阪梅田(阪急),84,876923.0
玉出,83,306667.0
喜連瓜破,82,360000.0
ドーム前千代崎,81,542857.0
河堀口,81,473684.0
加美,77,306667.0
田辺,74,371429.0
ポートタウン東,74,160000.0
伝法,73,333333.0
野田(ＪＲ),71,493333.0
住ノ江,71,271429.0
難波(南海),69,836364.0
新森古市,69,300000.0
沢ノ町,69,350000.0
帝塚山,67,328571.0
住吉大社,67,218182.0
東部市場前,66,333333.0
文の里,65,533333.0
千鳥橋,62,292308.0
昭和町(大阪),62,450000.0
だいどう豊里,61,329412.0
鶴ケ丘,56,369231.0
福,54,307692.0
岸里玉出,54,314286.0
北田辺,54,400000.0
花園町,54,271429.0
鶴見緑地,54,557143.0
東淀川,53,293333.0
新深江,53,413333.0
西梅田,53,1950000.0
大阪港,51,185714.0
瑞光四丁目,50,200000.0
平林(大阪),50,230769.0
玉川(大阪),49,461538.0
下新庄,49,338462.0
徳庵,49,285714.0
千林大宮,45,426667.0
出来島,44,271429.0
大阪城北詰,43,420000.0
ＪＲ淡路,43,215000.0
北巽,42,246154.0
ＪＲ野江,42,400000.0
美章園,42,560000.0
淀川,41,317647.0
海老江,41,571429.0
出戸,41,314286.0
太子橋今市,39,387500.0
姫松,39,461538.0
駒川中野,38,385714.0
長原(大阪),38,300000.0
相川,36,200000.0
北畠,34,471429.0
針中野,34,357143.0
岸里,34,250000.0
九条(阪神),33,520000.0
今里(近鉄),33,290909.0
守口,33,214286.0
我孫子前,33,242857.0
北新地,33,771429.0
福島(阪神),32,783333.0
恵美須町,32,560000.0
森小路,30,250000.0
中ふ頭,30,157895.0
東梅田,29,690000.0
大阪城公園,28,415385.0
天下茶屋,28,457143.0
我孫子町,27,435294.0
南田辺,26,357143.0
住吉東,26,320000.0
新加美,24,276923.0
粉浜,23,270588.0
梅田,20,750000.0
井高野,19,228571.0
芦原橋,17,654545.0
今川(大阪),17,323077.0
大阪阿部野橋,16,821053.0
南巽,15,314286.0
杉本町,15,466667.0
今宮戎,14,733333.0
東天下茶屋,14,485714.0
衣摺加美北,14,287500.0
我孫子道,12,285714.0
矢田(大阪),12,271429.0
八尾南,12,261538.0
南港口,11,97500.0
新今宮,10,283333.0
千林,9,333333.0
塚西,9,246154.0
帝塚山三丁目,9,446154.0
ドーム前,9,666667.0
今宮,8,520000.0
松虫,8,342857.0
帝塚山四丁目,8,154545.0
近鉄日本橋,8,471429.0
南方(大阪),8,340000.0
聖天坂,7,337500.0
細井川,5,475000.0
汐見橋,5,640000.0
崇禅寺,4,475000.0
関目成育,4,283333.0
なにわ橋,4,422222.0
柴島,4,266667.0
西天下茶屋,3,223529.0
天神ノ森,3,500000.0
清水(大阪メトロ),3,292308.0
渡辺橋,3,1014286.0
大阪梅田(阪神),2,400000.0
住吉(大阪),2,360000.0
大阪ビジネスパーク,2,340000.0
動物園前,2,242857.0
大阪難波,2,383333.0
守口市,1,146667.0
大物,1,200000.0
江坂,1,171429.0
神ノ木,1,145455.0
布施,1,338462.0
土居,1,250000.0
トレードセンター前,1,500000.0
