section,city_name,district_name,st_name,walk,area,price_man,pps_man,built_year,layout,trade_period
pps_bottom5,大阪市港区,田中,朝潮橋,6,60.0,300.0,5.0,,４Ｋ,2023年第2四半期
pps_bottom5,大阪市平野区,加美西,加美,5,45.0,200.0,4.4,1974年,２ＤＫ,2023年第2四半期
pps_bottom5,大阪市東淀川区,下新庄,下新庄,6,55.0,230.0,4.2,1968年,３ＤＫ,2025年第4四半期
pps_bottom5,大阪市港区,築港,大阪港,3,65.0,150.0,2.3,1969年,３Ｋ,2021年第3四半期
pps_bottom5,大阪市福島区,吉野,,,1960.0,1600.0,0.8,,１Ｋ,2024年第4四半期
pps_top5,大阪市北区,天神橋,天神橋筋六丁目,1,85.0,82000.0,964.7,2013年,２ＬＤＫ,2021年第2四半期
pps_top5,大阪市西区,西本町,本町,4,50.0,20000.0,400.0,1980年,１ＬＤＫ,2022年第1四半期
pps_top5,大阪市北区,大深町,大阪,6,95.0,37000.0,389.5,2013年,１ＬＤＫ,2025年第3四半期
pps_top5,大阪市北区,大深町,大阪,6,105.0,40000.0,381.0,2013年,３ＬＤＫ,2025年第4四半期
pps_top5,大阪市北区,堂島,西梅田,6,80.0,30000.0,375.0,2024年,１ＬＤＫ,2024年第2四半期
price_top5,大阪市北区,天神橋,天神橋筋六丁目,1,85.0,82000.0,964.7,2013年,２ＬＤＫ,2021年第2四半期
price_top5,大阪市北区,大深町,大阪,6,105.0,40000.0,381.0,2013年,３ＬＤＫ,2025年第4四半期
price_top5,大阪市中央区,南本町,堺筋本町,1,210.0,57000.0,271.4,2021年,２ＬＤＫ,2023年第4四半期
price_top5,大阪市中央区,南本町,堺筋本町,1,175.0,45000.0,257.1,2021年,２ＬＤＫ,2025年第2四半期
price_top5,大阪市福島区,福島,新福島,3,235.0,45000.0,191.5,2008年,２ＬＤＫ,2021年第4四半期
